PROTEIN	TAXON	sequences in db	letters in db	avrg length	hits	alignments	score	e-value	description
VEGF-F	cephalochordata	62212	34448374	553.7	7
						1	142.0	5.67761e-11	gi|260833542|ref|XP_002611716.1| hypothetical protein BRAFLDRAFT_63593 [Branchiostoma floridae] >gi|229297087|gb|EEN67726.1| hypothetical protein BRAFLDRAFT_63593 [Branchiostoma floridae]
						1	139.0	2.82522e-10	gi|1126178913|ref|XP_019621834.1| PREDICTED: vascular endothelial growth factor C-like [Branchiostoma belcheri]
						1	92.0	0.000509373	gi|1126225966|ref|XP_019647399.1| PREDICTED: vascular endothelial growth factor C-like isoform X1 [Branchiostoma belcheri]
						1	92.0	0.000533407	gi|1126225968|ref|XP_019647400.1| PREDICTED: vascular endothelial growth factor C-like isoform X2 [Branchiostoma belcheri] >gi|1126225970|ref|XP_019647401.1| PREDICTED: vascular endothelial growth factor C-like isoform X2 [Branchiostoma belcheri]
						1	91.0	0.00068128	gi|1126225972|ref|XP_019647402.1| PREDICTED: vascular endothelial growth factor C-like isoform X3 [Branchiostoma belcheri]
						1	85.0	0.00450829	gi|260785480|ref|XP_002587789.1| hypothetical protein BRAFLDRAFT_92234 [Branchiostoma floridae] >gi|229272942|gb|EEN43800.1| hypothetical protein BRAFLDRAFT_92234, partial [Branchiostoma floridae]
						1	78.0	0.0312155	gi|1126185416|ref|XP_019625376.1| PREDICTED: vascular endothelial growth factor A-like [Branchiostoma belcheri]
VEGF-F	chondrichthyes	64827	31481698	485.6	25
						1	280.0	1.70155e-31	gi|632953624|ref|XP_007892525.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Callorhinchus milii]
						1	272.0	1.58154e-30	gi|632953626|ref|XP_007892526.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Callorhinchus milii]
						1	265.0	3.04933e-29	gi|632985818|ref|XP_007909895.1| PREDICTED: vascular endothelial growth factor A-like isoform X3 [Callorhinchus milii]
						1	263.0	7.36714e-29	gi|632985814|ref|XP_007909892.1| PREDICTED: vascular endothelial growth factor A-like isoform X1 [Callorhinchus milii]
						1	263.0	7.82609e-29	gi|632985816|ref|XP_007909894.1| PREDICTED: vascular endothelial growth factor A-like isoform X2 [Callorhinchus milii]
						1	260.0	8.82608e-29	gi|632985820|ref|XP_007909896.1| PREDICTED: vascular endothelial growth factor A-like isoform X4 [Callorhinchus milii]
						1	257.0	1.68796e-28	gi|1160098498|ref|XP_020377692.1| vascular endothelial growth factor A-like isoform X1 [Rhincodon typus]
						1	252.0	3.7236e-28	gi|1160098500|ref|XP_020377693.1| vascular endothelial growth factor A-like isoform X2 [Rhincodon typus]
						1	247.0	1.02879e-27	gi|1160109282|ref|XP_020381943.1| vascular endothelial growth factor A-like [Rhincodon typus]
						1	246.0	1.02474e-26	gi|1160123624|ref|XP_020367962.1| vascular endothelial growth factor A isoform X1 [Rhincodon typus]
						1	240.0	4.14346e-26	gi|1160123626|ref|XP_020367964.1| vascular endothelial growth factor A isoform X2 [Rhincodon typus]
						1	153.0	3.40433e-12	gi|632967841|ref|XP_007900204.1| PREDICTED: vascular endothelial growth factor C-like [Callorhinchus milii]
						1	135.0	1.00872e-09	gi|632956751|ref|XP_007894115.1| PREDICTED: vascular endothelial growth factor C [Callorhinchus milii]
						1	129.0	2.27675e-09	gi|1160130919|ref|XP_020390957.1| platelet-derived growth factor subunit A-like isoform X1 [Rhincodon typus]
						1	131.0	3.30243e-09	gi|1160086941|ref|XP_020376152.1| vascular endothelial growth factor C [Rhincodon typus]
						1	129.0	4.48822e-09	gi|1160100846|ref|XP_020378910.1| vascular endothelial growth factor D, partial [Rhincodon typus]
						1	119.0	2.80506e-08	gi|1160130921|ref|XP_020390958.1| platelet-derived growth factor subunit A-like isoform X2 [Rhincodon typus]
						1	119.0	1.03258e-07	gi|632949212|ref|XP_007890019.1| PREDICTED: vascular endothelial growth factor D [Callorhinchus milii]
						1	114.0	1.46528e-07	gi|632990669|ref|XP_007884275.1| PREDICTED: platelet-derived growth factor subunit B-like, partial [Callorhinchus milii]
						1	114.0	3.41225e-07	gi|1160116055|ref|XP_020384235.1| platelet-derived growth factor subunit B-like [Rhincodon typus]
						1	111.0	8.52747e-07	gi|632943102|ref|XP_007886775.1| PREDICTED: platelet-derived growth factor subunit A-like [Callorhinchus milii]
						1	109.0	2.11687e-06	gi|1160140987|ref|XP_020371726.1| platelet-derived growth factor subunit A isoform X1 [Rhincodon typus]
						1	103.0	1.14867e-05	gi|1160129093|ref|XP_020390026.1| vascular endothelial growth factor C-like, partial [Rhincodon typus]
						1	102.0	1.42536e-05	gi|1160140989|ref|XP_020371727.1| platelet-derived growth factor subunit A isoform X2 [Rhincodon typus]
						1	94.0	0.000156514	gi|632952246|ref|XP_007891746.1| PREDICTED: platelet-derived growth factor subunit A [Callorhinchus milii]
VEGF-F	cyclostomata	5714	1385486	242.5	0
VEGF-F	chaetognatha	1232	277984	225.6	0
VEGF-F	tardigrada	44780	17327999	387.0	3
						1	144.0	2.99293e-11	gi|1174750605|gb|OQV18751.1| hypothetical protein BV898_07189 [Hypsibius dujardini]
						1	92.0	0.000266136	gi|1101381960|dbj|GAV00514.1| hypothetical protein RvY_11350 [Ramazzottius varieornatus]
						1	73.0	0.0718134	gi|1101376794|dbj|GAV05680.1| hypothetical protein RvY_15773 [Ramazzottius varieornatus]
VEGF-F	tunicata	53436	25626452	479.6	1
						1	104.0	7.36922e-06	gi|198416765|ref|XP_002128012.1| vascular endothelial growth factor A-A-like [Ciona intestinalis]
VEGF-F	actinopterygii	2820992	1787492585	633.6	1253
						1	298.0	3.74683e-33	gi|1338771576|ref|XP_023682357.1| vascular endothelial growth factor A isoform X4 [Paramormyrops kingsleyae]
						1	296.0	1.31338e-32	gi|1338771574|ref|XP_023682356.1| vascular endothelial growth factor A isoform X3 [Paramormyrops kingsleyae]
						1	295.0	5.8391e-32	gi|554806843|ref|XP_005914347.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Haplochromis burtoni] >gi|923849526|ref|XP_013769414.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Pundamilia nyererei] >gi|939283689|ref|XP_014267546.1| vascular endothelial growth factor A isoform X1 [Maylandia zebra] >gi|1468881560|ref|XP_026050291.1| vascular endothelial growth factor A isoform X1 [Astatotilapia calliptera]
						1	291.0	6.40285e-32	gi|542219474|ref|XP_005449667.1| vascular endothelial growth factor A isoform X4 [Oreochromis niloticus]
						1	293.0	7.32267e-32	gi|1434968597|ref|XP_025754614.1| vascular endothelial growth factor A isoform X2 [Oreochromis niloticus]
						1	294.0	8.20671e-32	gi|584004561|ref|XP_006797282.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Neolamprologus brichardi]
						1	292.0	1.06157e-31	gi|1367441795|ref|XP_024276266.1| vascular endothelial growth factor A-A-like [Oncorhynchus tshawytscha]
						1	288.0	1.14272e-31	gi|972949634|ref|XP_015200906.1| PREDICTED: vascular endothelial growth factor A isoform X3 [Lepisosteus oculatus]
						1	287.0	1.33613e-31	gi|167736373|ref|NP_001103819.2| vascular endothelial growth factor A-A isoform 2 precursor [Danio rerio] >gi|3088577|gb|AAC14713.1| vascular endothelial growth factor 121 isoform [Danio rerio]
						1	287.0	1.67916e-31	gi|1469067201|ref|XP_026140538.1| vascular endothelial growth factor A-A-like isoform X3 [Carassius auratus]
						1	294.0	1.71134e-31	gi|1367500141|ref|XP_024233896.1| vascular endothelial growth factor A-A-like isoform X3 [Oncorhynchus tshawytscha]
						1	291.0	2.18658e-31	gi|1338771570|ref|XP_023682354.1| vascular endothelial growth factor A isoform X1 [Paramormyrops kingsleyae]
						1	289.0	2.85229e-31	gi|348506652|ref|XP_003440872.1| vascular endothelial growth factor A isoform X3 [Oreochromis niloticus]
